Team Name,Ruff Riders,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,Miami Coral Park Senior High,,,,,
Race Time Start,18:09,,,,,
Race Time End,18:39,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,16.28,,,,,
2,15.63,,,,,
3,15.93,,,,,
4,15.69,,,,,
5,16.20,,,,,
6,15.01,,,,,
7,15.20,,,,,
8,15.45,,,,,
9,15.46,,,,,
10,15.70,,,,,
11,15.46,,,,,
12,15.30,,,,,
13,15.36,,,,,
14,15.10,,,,,
15,15.85,,,,,
16,15.21,,,,,
17,15.36,,,,,
18,16.43,,,,,
19,15.07,,,,,
20,15.89,,,,,
21,15.80,,,,,
22,16.15,,,,,
23,15.82,,,,,
24,15.29,,,,,
25,15.41,,,,,
26,15.40,,,,,
27,15.37,,,,,
28,15.15,,,,,
29,15.59,,,,,
30,15.29,,,,,
31,15.15,,,,,
32,15.10,,,,,
33,16.16,,,,,
34,15.26,,,,,
35,14.89,,,,,
36,15.38,,,,,
37,16.41,,,,,
38,61.00,,,,,
39,14.88,,,,,
40,15.80,,,,,
41,14.82,,,,,
42,15.59,,,,,
43,14.93,,,,,
44,15.17,,,,,
45,14.98,,,,,
46,15.04,,,,,
47,15.12,,,,,
48,15.03,,,,,
49,15.23,,,,,
50,15.47,,,,,
51,15.97,,,,,
52,15.09,,,,,
53,15.68,,,,,
54,14.56,,,,,
55,15.29,,,,,
56,15.42,,,,,
57,17.78,,,,,
58,15.46,,,,,
59,15.66,,,,,
60,15.14,,,,,
61,15.38,,,,,
62,15.69,,,,,
63,15.27,,,,,
64,15.20,,,,,
65,14.57,,,,,
66,24.45,,,,,
67,16.45,,,,,
68,15.19,,,,,
69,15.69,,,,,
70,15.65,,,,,
71,16.10,,,,,
72,15.60,,,,,
73,16.64,,,,,
74,40.86,,,,,
75,15.73,,,,,
76,14.92,,,,,
77,15.14,,,,,
78,15.20,,,,,
79,15.78,,,,,
80,15.74,,,,,
81,14.82,,,,,
82,15.29,,,,,
83,17.13,,,,,
84,16.51,,,,,
85,17.59,,,,,
86,17.80,,,,,
87,113.00,,,,,
88,36.59,,,,,
89,14.68,,,,,
90,16.52,,,,,
91,38.71,,,,,
92,14.84,,,,,
93,14.95,,,,,
94,15.08,,,,,
95,14.86,,,,,
96,14.68,,,,,
97,14.42,,,,,
98,14.86,,,,,
99,15.07,,,,,
100,16.05,,,,,
101,16.05,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
38,Battery,,,,,
74,Battery,,,,,
87,Tires,,,,,
91,Tires,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
