Team Name,Talledega Trojans,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 26, 2021",,,,,
Race Location,Nodaway Holt HS Gym Graham MO,,,,,
Race Time Start,2:30,,,,,
Race Time End,3:30,,,,,
Race Type (dropdown),30-Min Most Laps,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
1,27.42,,,,,
2,27.69,,,,,
3,26.87,,,,,
4,25.97,,,,,
5,27.13,,,,,
6,26.26,,,,,
7,24.99,,,,,
8,25.33,,,,,
9,27.42,,,,,
10,27.08,,,,,
11,25.94,,,,,
12,26.98,,,,,
13,26.86,,,,,
14,53.45,,,,,
15,27.73,,,,,
16,24.75,,,,,
17,24.46,,,,,
18,25.21,,,,,
19,24.75,,,,,
20,22.61,,,,,
21,24.88,,,,,
22,24.46,,,,,
23,29.39,,,,,
24,25.52,,,,,
25,26.31,,,,,
26,25.04,,,,,
27,27.74,,,,,
28,23.81,,,,,
29,24.42,,,,,
30,26.28,,,,,
31,22.39,,,,,
32,23.28,,,,,
33,24.34,,,,,
34,23.19,,,,,
35,24.17,,,,,
36,24.46,,,,,
37,24.80,,,,,
38,22.63,,,,,
39,71.06,1.11.06,,,,
40,23.02,,,,,
41,27.43,,,,,
42,23.59,,,,,
43,25.00,,,,,
44,24.07,,,,,
45,25.39,,,,,
46,25.13,,,,,
47,22.32,,,,,
48,25.38,,,,,
49,26.35,,,,,
50,25.65,,,,,
51,26.01,,,,,
52,24.49,,,,,
53,25.05,,,,,
54,24.37,,,,,
55,24.44,,,,,
56,22.96,,,,,
57,23.84,,,,,
58,23.33,,,,,
59,23.08,,,,,
60,26.05,,,,,
61,22.94,,,,,
62,23.35,,,,,
63,22.51,,,,,
64,26.46,,,,,
65,22.05,,,,,
66,25.50,,,,,
67,27.48,,,,,
68,28.84,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
14,Battery,,,,,
39,Battery,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
