Team Name,Piedmont Motorsports,,,,,EXAMPLE
Team ID,,,,,,
Race Date,"April 23, 2021",,,,,
Race Location,"Lafayette, AL",,,,,
Race Time Start,12:55 PM Central,,,,,
Race Time End,1:00 PM Central,,,,,
Race Type (dropdown),5-Min Consistency,,,,,
,,,,,,
Result (dropdown),Finished,,,,,
,,,,,,
"If DNF, why? (dropdown)",(N/A - Finished),,,,,
,,,,,,
,,,,,,
Lap Number,Lap Time in seconds,,,,,
,,,,,,
1,15.28,,,,,
2,14.83,,,,,
3,15.13,,,,,
4,15.11,,,,,
5,14.86,,,,,
6,15.58,,,,,
7,15.27,,,,,
8,15.41,,,,,
9,14.90,,,,,
10,15.91,,,,,
11,15.28,,,,,
12,15.43,,,,,
13,14.77,,,,,
14,14.64,,,,,
15,15.30,,,,,
16,15.72,,sd = ,0.355579197,,
17,15.86,,,,,
18,15.26,,,,,
19,15.60,,,,,
,,,,,,
,"?  To insert rows above this row, highlight this row and additional rows below.  Right-click then choose ""insert"".  ",,,,,
,,,,,,
,,,,,,
Pit Stop Laps & Reasons,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
